NAF,Code_NAF,Nom,Adresse_etablissement,Code_Postal,CoordonneesLambertAbscisse,coordonneesLambertOrdonnee
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LM BATIMENT ET DEVELOPPEMENT, 4 RUE DE LA REPUBLIQUE 69001 LYON,69001,842672.7025733468,6520239.532538083
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LYON PATRIMOINE IMMOBILIER, 8 RUE SAINT POLYCARPE 69001 LYON,69001,842531.1434116744,6520500.170199173
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,INTERNATIONAL NEGOCIATION CARRELAGE, 7 RUE CONSTANTINE 69001 LYON,69001,842337.434779028,6520248.185284767
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,COLORE DIEM, 13 RUE ROYALE 69001 LYON,69001,842774.2963803759,6520771.307169488
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,GREENBAT, 21 RUE D'ALGERIE 69001 LYON,69001,842394.14,6520323.7
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,PEINTURES INDUSTRIE ET BATIMENT, 14 QUAI ANDRE LASSAGNE 69001 LYON,69001,842809.9889468427,6520620.512569978
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,LPO MED, 4 RUE DE LA REPUBLIQUE 69001 LYON,69001,842672.7025733468,6520239.532538083
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,SOLMUR DISTRIBUTION,13/14 13 QUAI ANDRE LASSAGNE 69001 LYON,69001,842809.9976885028,6520640.174085095
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),TERREAUX BRICOLAGE, 24 RUE LANTERNE 69001 LYON,69001,842370.3598933695,6520112.4310520915
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),TERREAUX BRICOLAGE, 14 RUE DE LA PLATIERE 69001 LYON,69001,842378.2677148468,6520136.830144728
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),RENEGAT, 6 QUAI DE LA PECHERIE 69001 LYON,69001,842301.5855999625,6520124.609576341
20.30Z,Fabrication de peintures vernis encres et mastics,BRAND EQUITY EUROPEAN STRATEGIES, 27 RUE DES REMPARTS D'AINAY 69002 LYON,69002,842317.9995406448,6518675.942544414
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,M.S.D.A, 33 RUE DE LA REPUBLIQUE 69002 LYON,69002,842686.0861748456,6519801.074500248
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,NOVIHOME, 25 RUE PAUL MONTROCHET 69002 LYON,69002,841575.2808889064,6517092.195854161
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,F BERNARD SA, 10 RUE DE LA CHARITE 69002 LYON,69002,842462.9276173494,6518974.891171777
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,K&M, 18 RUE DES REMPARTS D'AINAY 69002 LYON,69002,842237.7105464,6518694.408903981
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ZINCO,LE 144-COWORKING A LYON 45 RUE DE LA BOURSE 69002 LYON,69002,842761.2,6519954.23
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MBO, 62 RUE DE BREST 69002 LYON,69002,842480.8672908694,6519595.360553544
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MC BAT, 50 RUE FRANKLIN 69002 LYON,69002,842351.936487901,6518560.539185057
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ATELIER D'OUTILS, 33 RUE DE LA REPUBLIQUE 69002 LYON,69002,842686.0861748456,6519801.074500248
