NAF,Nom,Complement_adresse,Numero_voie,Type_voie,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,CoordonneesLambertAbscisse,CoordonneesLambertOrdonnee
08.12Z,CEMEX GRANULATS RHONE MEDITERRANEE,PARC D AFFAIRES DE LA BANDONNIERE,6,RUE,LOUIS GATTEFOSSE,69800,SAINT-PRIEST,849645.1918425404,6514077.293251041
16.10A,DESCHAUMES,"",15,QUAI,JEAN MOULIN,69002,LYON,842841.7975349989,6520015.529036874
16.10A,EXPLOITATIONS FORESTIERES BARILLET,"",78,AVENUE,FRANKLIN ROOSEVELT,69120,VAULX-EN-VELIN,850535.9506628009,6519772.030259181
16.10A,FIBRES INDUSTRIES BOIS,ZAC DE L'ARSENAL,"",RUE,ANDRE SENTUC,69200,VENISSIEUX,845447.4831750356,6513884.470733212
16.23Z,BURGER ET CIE,"",44,AVENUE,DE LANESSAN,69410,CHAMPAGNE-AU-MONT-D'OR,839241.9194128583,6523300.369568235
20.30Z,VERNIJURA,ZA EST,17,RUE,LOUIS SAILLANT,69120,VAULX-EN-VELIN,850707.7927168661,6521474.283008059
20.30Z,STO,"",53,CHEMIN,DE GENAS,69800,SAINT-PRIEST,852417.5050225984,6514652.907660939
20.30Z,BRAND EQUITY EUROPEAN STRATEGIES,"",27,RUE,DES REMPARTS D'AINAY,69002,LYON,842317.9995406448,6518675.942544414
20.30Z,ALLIOS,"",12,RUE,LUCETTE ET RENE DESGRAND,69100,VILLEURBANNE,847469.6896408484,6522402.992189364
20.30Z,RECA,"",163,AVENUE,FRANKLIN ROOSEVELT,69150,DECINES-CHARPIEU,850383.9750120396,6518749.10607379
20.30Z,ALLIOS,"",8,RUE,DU MACONNAIS,69800,SAINT-PRIEST,849603.6161906559,6512432.234760545
22.23Z,LES NOUVELLES MENUISERIES GREGOIRE,IMMEUBLE DANICA B,21,AVENUE,GEORGES POMPIDOU,69003,LYON,844935.8877843218,6519455.2440167535
22.23Z,OXXO,"",161,AVENUE,FRANKLIN ROOSEVELT,69150,DECINES-CHARPIEU,850392.007408279,6518798.957560711
