NAF,Code_NAF,Nom,Adresse_etablissement,Code_Postal,CoordonneesLambertAbscisse,coordonneesLambertOrdonnee,gps_lon,gps_lat
20.30Z,Fabrication de peintures vernis encres et mastics,BRAND EQUITY EUROPEAN STRATEGIES, 27 RUE DES REMPARTS D'AINAY 69002 LYON,69002,842317.9995406448,6518675.942544414,"4,830843","45,752834"
20.30Z,Fabrication de peintures vernis encres et mastics,ALLIOS, 12 RUE LUCETTE ET RENE DESGRAND 69100 VILLEURBANNE,69100,847469.6896408484,6522402.992189364,"4,898244","45,785291"
20.30Z,Fabrication de peintures vernis encres et mastics,RECA, 163 AVENUE FRANKLIN ROOSEVELT 69150 DECINES-CHARPIEU,69150,850383.9750120396,6518749.10607379,"4,93459","45,751761"
20.30Z,Fabrication de peintures vernis encres et mastics,STO, 53 CHEMIN DE GENAS 69800 SAINT-PRIEST,69800,852417.5050225984,6514652.907660939,"4,959432","45,714435"
20.30Z,Fabrication de peintures vernis encres et mastics,ALLIOS, 8 RUE DU MACONNAIS 69800 SAINT-PRIEST,69800,849603.6161906559,6512432.234760545,"4,922577","45,695067"
46.13Z,Intermediaires du commerce en bois et materiaux de construction,3 BAIES.COM, 155 RUE LEON BLUM 69100 VILLEURBANNE,69100,848030.234578975,6519675.742824884,"4,90461","45,760618"
46.13Z,Intermediaires du commerce en bois et materiaux de construction,FENETRES ET HABITAT, 21 RUE DES FRERES LUMIERE 69680 CHASSIEU,69680,852361.252551291,6516596.503533647,"4,959329","45,731944"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LM BATIMENT ET DEVELOPPEMENT, 4 RUE DE LA REPUBLIQUE 69001 LYON,69001,842672.7025733468,6520239.532538083,"4,835872","45,766836"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LYON PATRIMOINE IMMOBILIER, 8 RUE SAINT POLYCARPE 69001 LYON,69001,842531.1434116744,6520500.170199173,"4,834129","45,769212"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,INTERNATIONAL NEGOCIATION CARRELAGE, 7 RUE CONSTANTINE 69001 LYON,69001,842337.434779028,6520248.185284767,"4,831562","45,766984"
